# System: 100CH3OH-CG
#    Step   Total energy, kJ/mol
        0  -1747.930
     1000  -1797.637
     2000  -1762.822
     3000  -1714.078
     4000  -1762.901
     5000  -1826.954
     6000  -1850.067
     7000  -1839.993
     8000  -1784.202
     9000  -1806.321
    10000  -1779.353
    11000  -1789.474
    12000  -1829.820
    13000  -1813.078
    14000  -1791.474
    15000  -1811.774
    16000  -1730.714
    17000  -1753.002
    18000  -1819.442
    19000  -1802.654
    20000  -1842.568
    21000  -1844.882
    22000  -1841.215
    23000  -1821.915
    24000  -1832.909
    25000  -1807.262
    26000  -1801.791
    27000  -1766.015
    28000  -1811.174
    29000  -1761.507
    30000  -1773.615
    31000  -1774.727
    32000  -1827.763
    33000  -1808.111
    34000  -1810.475
    35000  -1804.719
    36000  -1804.411
    37000  -1792.648
    38000  -1782.395
    39000  -1719.913
    40000  -1800.628
    41000  -1773.411
    42000  -1825.665
    43000  -1770.057
    44000  -1753.431
    45000  -1782.358
    46000  -1762.215
    47000  -1768.348
    48000  -1780.487
    49000  -1809.652
    50000  -1754.041
    51000  -1733.684
    52000  -1688.037
    53000  -1690.650
    54000  -1718.832
    55000  -1700.752
    56000  -1735.202
    57000  -1705.086
    58000  -1707.307
    59000  -1760.986
    60000  -1767.820
    61000  -1792.855
    62000  -1854.188
    63000  -1816.188
    64000  -1812.111
    65000  -1788.225
    66000  -1810.230
    67000  -1804.868
    68000  -1792.632
    69000  -1793.852
    70000  -1817.406
    71000  -1840.343
    72000  -1817.063
    73000  -1780.801
    74000  -1755.894
    75000  -1719.642
    76000  -1777.421
    77000  -1761.701
    78000  -1805.670
    79000  -1751.795
    80000  -1752.723
    81000  -1748.494
    82000  -1715.117
    83000  -1680.057
    84000  -1728.083
    85000  -1749.018
    86000  -1798.920
    87000  -1738.381
    88000  -1763.071
    89000  -1758.836
    90000  -1687.101
    91000  -1709.778
    92000  -1747.882
    93000  -1729.473
    94000  -1729.148
    95000  -1720.873
    96000  -1744.463
    97000  -1714.003
    98000  -1746.976
    99000  -1719.309
   100000  -1725.369
   101000  -1749.144
   102000  -1706.204
   103000  -1750.374
   104000  -1672.873
   105000  -1717.806
   106000  -1744.974
   107000  -1799.368
   108000  -1808.333
   109000  -1734.459
   110000  -1706.653
   111000  -1725.923
   112000  -1772.767
   113000  -1772.278
   114000  -1799.801
   115000  -1800.893
   116000  -1747.417
   117000  -1843.437
   118000  -1866.790
   119000  -1865.336
   120000  -1842.120
   121000  -1818.559
   122000  -1804.057
   123000  -1809.832
   124000  -1780.850
   125000  -1737.172
   126000  -1715.117
   127000  -1687.053
   128000  -1735.916
   129000  -1821.777
   130000  -1746.046
   131000  -1747.557
   132000  -1763.677
   133000  -1813.856
   134000  -1765.546
   135000  -1747.220
   136000  -1724.663
   137000  -1699.973
   138000  -1702.398
   139000  -1689.273
   140000  -1640.597
   141000  -1717.722
   142000  -1713.497
   143000  -1758.708
   144000  -1776.412
   145000  -1804.923
   146000  -1794.166
   147000  -1825.778
   148000  -1818.240
   149000  -1816.945
   150000  -1768.786
   151000  -1752.025
   152000  -1755.041
   153000  -1774.471
   154000  -1839.360
   155000  -1764.154
   156000  -1777.193
   157000  -1803.855
   158000  -1826.454
   159000  -1865.184
   160000  -1834.025
   161000  -1778.549
   162000  -1755.753
   163000  -1762.643
   164000  -1767.422
   165000  -1741.605
   166000  -1697.991
   167000  -1766.419
   168000  -1785.244
   169000  -1771.383
   170000  -1898.777
   171000  -1862.839
   172000  -1841.882
   173000  -1835.443
   174000  -1813.497
   175000  -1803.442
   176000  -1829.199
   177000  -1796.029
   178000  -1755.793
   179000  -1733.304
   180000  -1763.789
   181000  -1773.442
   182000  -1747.251
   183000  -1819.370
   184000  -1773.385
   185000  -1803.575
