# System: 100CH3OH-CG
#    Step   Total energy, kJ/mol
        0  -1747.930
     1000  -1750.741
     2000  -1797.499
     3000  -1784.260
     4000  -1767.269
     5000  -1767.121
     6000  -1761.368
     7000  -1746.023
     8000  -1725.831
     9000  -1770.757
    10000  -1781.149
    11000  -1778.205
    12000  -1790.987
    13000  -1785.062
    14000  -1786.338
    15000  -1831.409
    16000  -1767.699
    17000  -1779.323
    18000  -1782.671
    19000  -1797.116
    20000  -1786.276
    21000  -1800.392
    22000  -1773.722
    23000  -1759.223
    24000  -1732.631
    25000  -1801.178
    26000  -1814.114
    27000  -1840.309
    28000  -1785.639
    29000  -1828.946
    30000  -1726.274
    31000  -1800.778
    32000  -1795.359
    33000  -1782.024
    34000  -1752.803
    35000  -1799.493
    36000  -1811.141
    37000  -1789.790
    38000  -1756.707
    39000  -1738.421
    40000  -1771.061
    41000  -1725.426
    42000  -1768.585
    43000  -1807.909
    44000  -1756.354
    45000  -1748.307
    46000  -1770.424
    47000  -1758.642
    48000  -1727.535
    49000  -1746.796
    50000  -1668.520
    51000  -1685.929
    52000  -1684.257
    53000  -1690.683
    54000  -1666.182
    55000  -1694.988
    56000  -1702.951
    57000  -1725.796
    58000  -1741.761
    59000  -1726.102
    60000  -1726.566
    61000  -1751.975
    62000  -1763.718
    63000  -1722.839
    64000  -1764.373
    65000  -1736.791
    66000  -1725.080
    67000  -1705.658
    68000  -1700.908
    69000  -1690.036
    70000  -1719.471
    71000  -1728.465
    72000  -1756.948
    73000  -1806.244
    74000  -1822.924
    75000  -1848.568
    76000  -1803.454
    77000  -1780.439
    78000  -1764.492
    79000  -1738.005
    80000  -1709.522
    81000  -1699.515
    82000  -1657.696
    83000  -1765.578
    84000  -1780.082
    85000  -1775.878
    86000  -1760.251
    87000  -1694.944
    88000  -1714.678
    89000  -1694.415
    90000  -1723.807
    91000  -1728.582
    92000  -1741.097
    93000  -1763.080
    94000  -1714.343
    95000  -1729.264
    96000  -1772.181
    97000  -1758.503
    98000  -1781.634
    99000  -1729.718
   100000  -1725.736
   101000  -1761.922
   102000  -1732.339
   103000  -1728.764
