# System: 100CH3OH-CG
#    Step   Total energy, kJ/mol
        0  -1505.448
     1000  -1655.441
     2000  -1646.414
     3000  -1715.340
     4000  -1705.189
     5000  -1765.543
     6000  -1836.888
     7000  -1821.442
     8000  -1788.791
     9000  -1774.399
    10000  -1722.081
    11000  -1781.592
    12000  -1802.781
    13000  -1783.966
    14000  -1748.795
    15000  -1790.272
    16000  -1733.889
    17000  -1771.000
    18000  -1809.413
    19000  -1770.974
    20000  -1816.735
    21000  -1799.250
    22000  -1796.427
    23000  -1744.263
    24000  -1738.200
    25000  -1776.546
    26000  -1810.949
    27000  -1792.695
    28000  -1767.942
    29000  -1734.656
    30000  -1772.675
    31000  -1755.260
    32000  -1731.904
    33000  -1726.717
    34000  -1760.462
    35000  -1726.273
    36000  -1720.031
    37000  -1724.719
    38000  -1740.131
    39000  -1764.867
    40000  -1743.548
    41000  -1789.832
    42000  -1755.628
    43000  -1672.674
    44000  -1725.607
    45000  -1694.197
    46000  -1693.435
    47000  -1679.072
    48000  -1659.580
    49000  -1644.697
    50000  -1705.687
    51000  -1700.384
    52000  -1637.753
    53000  -1702.945
    54000  -1715.033
    55000  -1711.078
    56000  -1727.390
    57000  -1724.674
    58000  -1652.081
    59000  -1596.884
    60000  -1701.463
    61000  -1730.611
    62000  -1767.821
    63000  -1750.646
    64000  -1694.423
    65000  -1681.583
    66000  -1691.281
    67000  -1743.602
    68000  -1766.368
    69000  -1689.786
    70000  -1727.854
    71000  -1775.528
    72000  -1742.763
    73000  -1684.159
    74000  -1690.261
    75000  -1769.770
    76000  -1783.481
    77000  -1803.000
    78000  -1793.999
    79000  -1816.615
    80000  -1792.148
    81000  -1763.640
    82000  -1764.372
    83000  -1769.011
    84000  -1795.767
    85000  -1781.097
    86000  -1763.004
    87000  -1760.345
    88000  -1808.180
    89000  -1835.472
    90000  -1813.395
    91000  -1779.109
    92000  -1735.109
    93000  -1758.518
    94000  -1705.350
    95000  -1761.779
    96000  -1826.286
    97000  -1826.292
    98000  -1830.957
    99000  -1763.993
   100000  -1752.224
   101000  -1832.375
   102000  -1874.647
   103000  -1877.061
   104000  -1823.824
   105000  -1810.235
   106000  -1795.067
   107000  -1794.973
   108000  -1739.053
   109000  -1818.110
   110000  -1764.424
   111000  -1741.856
   112000  -1776.269
   113000  -1773.244
   114000  -1761.412
   115000  -1741.140
   116000  -1708.352
   117000  -1737.017
   118000  -1765.117
   119000  -1791.844
   120000  -1744.557
   121000  -1728.307
   122000  -1766.441
   123000  -1705.366
   124000  -1692.369
   125000  -1670.224
   126000  -1644.354
   127000  -1675.996
   128000  -1650.785
   129000  -1691.836
   130000  -1716.210
   131000  -1740.304
   132000  -1688.749
   133000  -1705.275
   134000  -1737.317
   135000  -1753.223
   136000  -1702.112
   137000  -1723.644
   138000  -1710.968
   139000  -1726.898
   140000  -1717.879
   141000  -1735.700
   142000  -1692.297
   143000  -1734.552
   144000  -1799.215
   145000  -1765.539
   146000  -1795.228
   147000  -1720.669
   148000  -1701.028
   149000  -1683.211
   150000  -1707.848
   151000  -1643.246
   152000  -1665.766
   153000  -1759.360
   154000  -1678.965
   155000  -1704.227
   156000  -1695.171
   157000  -1632.965
   158000  -1652.474
   159000  -1681.599
   160000  -1657.496
   161000  -1678.096
   162000  -1776.906
   163000  -1732.369
   164000  -1780.580
   165000  -1769.059
   166000  -1734.670
   167000  -1751.756
   168000  -1769.449
   169000  -1719.647
   170000  -1703.538
   171000  -1748.082
   172000  -1727.488
   173000  -1687.418
   174000  -1716.935
   175000  -1738.645
   176000  -1722.041
   177000  -1714.513
   178000  -1716.904
   179000  -1716.076
   180000  -1724.699
   181000  -1723.180
   182000  -1646.934
   183000  -1734.563
   184000  -1706.863
   185000  -1675.429
   186000  -1694.164
   187000  -1714.056
   188000  -1715.352
   189000  -1731.585
   190000  -1804.677
   191000  -1774.658
   192000  -1774.651
   193000  -1818.878
   194000  -1790.422
   195000  -1752.614
   196000  -1736.985
   197000  -1682.337
   198000  -1684.618
   199000  -1740.898
   200000  -1764.199
   201000  -1743.049
   202000  -1752.118
   203000  -1720.421
   204000  -1705.865
   205000  -1745.272
   206000  -1776.660
   207000  -1758.030
   208000  -1712.727
   209000  -1660.995
   210000  -1685.050
   211000  -1722.908
   212000  -1708.813
   213000  -1709.722
   214000  -1703.953
   215000  -1727.177
   216000  -1720.272
   217000  -1750.183
   218000  -1728.252
   219000  -1792.648
   220000  -1739.355
   221000  -1751.068
   222000  -1743.435
   223000  -1678.916
   224000  -1786.830
   225000  -1741.407
   226000  -1731.922
   227000  -1728.332
   228000  -1693.199
   229000  -1722.527
   230000  -1714.777
   231000  -1702.758
   232000  -1715.699
   233000  -1744.239
   234000  -1773.810
   235000  -1666.716
   236000  -1710.181
   237000  -1664.673
   238000  -1673.829
